"","distance","I","significant"
"1",25,0.502597617423305,"1"
"2",75,0.391210519757751,"1"
"3",125,0.387911545121124,"1"
"4",175,0.378023639368703,"1"
"5",225,0.368264676236314,"1"
"6",275,0.353276253593599,"1"
"7",325,0.330505513831945,"1"
"8",375,0.32800385893857,"1"
"9",425,0.312937798526921,"1"
"10",475,0.329199038138112,"1"
"11",525,0.293199701749559,"1"
"12",575,0.284290281783963,"1"
"13",625,0.251998100719881,"1"
"14",675,0.233244268731049,"1"
"15",725,0.251735183081568,"1"
"16",775,0.22006414797957,"1"
"17",825,0.232726964962175,"1"
"18",875,0.217280102645065,"1"
"19",925,0.208198429707121,"1"
"20",975,0.207478728189728,"1"
"21",1025,0.204448537550891,"1"
"22",1075,0.177959875402217,"1"
"23",1125,0.17951347327111,"1"
"24",1175,0.155584035759786,"1"
"25",1225,0.17383227610083,"1"
"26",1275,0.15473499419751,"1"
"27",1325,0.159658153751582,"1"
"28",1375,0.168406680451669,"1"
"29",1425,0.166481111594127,"1"
"30",1475,0.154240442031639,"1"
"31",1525,0.155964855853646,"1"
"32",1575,0.147925947316857,"1"
"33",1625,0.150126594481956,"1"
"34",1675,0.15682450917159,"1"
"35",1725,0.151981689416507,"1"
"36",1775,0.133489595417982,"1"
"37",1825,0.145707410774979,"1"
"38",1875,0.142681250510737,"1"
"39",1925,0.13275288786809,"1"
"40",1975,0.107511198689538,"1"
"41",2025,0.112662902716563,"1"
"42",2075,0.107825541478801,"1"
"43",2125,0.111884581466961,"1"
"44",2175,0.104573919862717,"1"
"45",2225,0.0991269379321537,"1"
"46",2275,0.104218246580617,"1"
"47",2325,0.120911120760944,"1"
"48",2375,0.100358254863445,"1"
"49",2425,0.0983918541777466,"1"
"50",2475,0.0948257409479012,"1"
"51",2525,0.0957530438607553,"1"
"52",2575,0.100305246867607,"1"
"53",2625,0.0857710212152304,"1"
"54",2675,0.0840833796279955,"1"
"55",2725,0.103309935713498,"1"
"56",2775,0.109003501761332,"1"
"57",2825,0.102393542059109,"1"
"58",2875,0.0983510707535099,"1"
"59",2925,0.0721617449724008,"1"
"60",2975,0.0782993506319613,"1"
"61",3025,0.0708459260675226,"1"
"62",3075,0.0473494934727079,"1"
"63",3125,0.0636836194971208,"1"
"64",3175,0.0567040429916965,"1"
"65",3225,0.0532669781240627,"1"
"66",3275,0.0644683136993241,"1"
"67",3325,0.0521674085213798,"1"
"68",3375,0.0386684539371857,"1"
"69",3425,0.0329387003927754,"1"
"70",3475,0.0534001983009338,"1"
"71",3525,0.0641009103043359,"1"
"72",3575,0.0393091333776537,"1"
"73",3625,0.0476385782304474,"1"
"74",3675,0.0292416151195482,"1"
"75",3725,0.0326523530094421,"1"
"76",3775,0.0330395150367444,"1"
"77",3825,0.0277211111197154,"1"
"78",3875,0.0332042059065607,"1"
"79",3925,0.0392843370745179,"1"
"80",3975,0.0634710914222625,"1"
"81",4025,0.0650874942476884,"1"
"82",4075,0.0595968248233136,"1"
"83",4125,0.0626287066443183,"1"
"84",4175,0.0469154661088969,"1"
"85",4225,0.0664318498256087,"1"
"86",4275,0.0848221530097628,"1"
"87",4325,0.0664594293587196,"1"
"88",4375,0.07921367001076,"1"
"89",4425,0.0691288472830438,"1"
"90",4475,0.0622689658047557,"1"
"91",4525,0.0741734716012695,"1"
"92",4575,0.0428550491264405,"1"
"93",4625,0.0413301105241996,"1"
"94",4675,0.0345149935120084,"1"
"95",4725,0.024880752698463,"1"
"96",4775,0.0278201282999446,"1"
"97",4825,-0.00115094163798296,"0"
"98",4875,-0.0236348763177092,"0"
"99",4925,-0.0283817861557977,"0"
"100",4975,-0.0455563599598687,"0"
"101",5025,-0.042701016495713,"0"
"102",5075,-0.0455313132819372,"0"
"103",5125,-0.0354723426666131,"0"
"104",5175,-0.0453152980026221,"0"
"105",5225,-0.0683561425884233,"0"
"106",5275,-0.0566076128978289,"0"
"107",5325,-0.0479175433288255,"0"
"108",5375,-0.0532232986886663,"0"
"109",5425,-0.0551907668863405,"0"
"110",5475,-0.0635595431504661,"0"
"111",5525,-0.06862748486101,"0"
"112",5575,-0.0555606875005284,"0"
"113",5625,-0.0458626188925562,"0"
"114",5675,-0.0673101029172703,"0"
"115",5725,-0.0633464487481977,"0"
"116",5775,-0.0646674364485743,"0"
"117",5825,-0.0622696416584304,"0"
"118",5875,-0.0749846289486917,"0"
"119",5925,-0.0891349181708837,"0"
"120",5975,-0.0776406554472338,"0"
"121",6025,-0.0724141449211996,"0"
"122",6075,-0.0552779769397371,"0"
"123",6125,-0.0865044014391049,"0"
"124",6175,-0.0529042325297166,"0"
"125",6225,-0.0630264668535404,"0"
"126",6275,-0.0665683396689411,"0"
"127",6325,-0.0474097153173829,"0"
"128",6375,-0.055291082662912,"0"
"129",6425,-0.056174214420093,"0"
"130",6475,-0.0301742620695571,"0"
"131",6525,-0.0246503685174887,"0"
"132",6575,-0.0488457125802998,"0"
"133",6625,-0.0413968987936382,"0"
"134",6675,-0.022555085606329,"0"
"135",6725,-0.0574647739730582,"0"
"136",6775,-0.0772348668679386,"0"
"137",6825,-0.0551387686627682,"0"
"138",6875,-0.0405994070970709,"0"
"139",6925,-0.0387561020478713,"0"
"140",6975,-0.0607125774719697,"0"
"141",7025,-0.0735395756778964,"0"
"142",7075,-0.0708251292332572,"0"
"143",7125,-0.0897901655453897,"0"
"144",7175,-0.0757294088887901,"0"
"145",7225,-0.062866685650235,"0"
"146",7275,-0.0773646985899187,"0"
"147",7325,-0.099281860168326,"0"
"148",7375,-0.116775511918147,"0"
"149",7425,-0.107681368405084,"0"
"150",7475,-0.110745997283121,"0"
