Glottocode,logPop,nSegments
aari1239,5.47465325336206,36
abar1238,3.26717172840301,36
abau1245,3.86153441085904,14
abid1235,4.70329137811866,38.5
abkh1244,5.18395278626658,66
abua1244,4.39794000867204,40
abur1243,4.74115159885179,38
acha1249,4.79726754083072,59
acha1250,2.39794000867204,29
ache1246,3,27.5
achi1257,6.54407201502453,55
achu1247,1,23
achu1248,4.02612451674545,27
acol1236,6.18383903705642,29
adan1247,6.00860017176192,39
adan1251,3.47712125471966,40
adio1239,5,31.5
adny1235,2.04139268515822,27
adyg1241,5.76752689940838,59
adze1240,4.47712125471966,25
afad1236,3.69897000433602,36
afar1241,6.29402509409532,27
afit1238,3.60205999132796,26
afri1274,6.85844034270995,39
agua1253,4.72916478969277,20
ahan1243,5.24303804868629,40
ahan1244,2.47712125471966,43
ahte1237,1.90308998699194,35
aika1237,2.25527250510331,28.5
ajab1235,5.8926510338773,41
ajas1235,2.30102999566398,48
akas1242,4.77232170672292,52
akaw1239,3.72835378202123,22
akha1245,5.75124830186397,50.5
akla1241,5.06744284277638,20
akoo1248,5,38
akpe1248,4,34
akun1241,0.778151250383644,22
alab1237,2.23044892137827,19
alam1246,3.1846914308176,25
alaw1244,1.07918124604762,26
aleu1260,2.19033169817029,31.5
alla1248,4.36172783601759,36
alut1245,1.39794000867204,27
alya1239,3.22010808804005,37.5
amah1246,2.7160033436348,22
aman1265,3.64542226934909,19
amar1271,0,24
amar1274,3.28103336724773,33
ambe1247,3.41497334797082,51
ambu1247,4.64345267648619,24
amel1241,3.72427586960079,20
amha1245,7.33885912500138,59
amii1238,1.47712125471966,32
amoo1242,4.0899051114394,35
amun1246,1.91907809237607,26
andi1255,3.76342799356294,68
ando1256,2.56820172406699,30.5
anga1288,5.12057393120585,49
anga1290,3.39794000867204,21
ango1258,4.09691001300806,36
anii1245,4.68930885912362,36
anin1240,3.11058971029925,26
anua1242,5.15411952551585,47
anuf1239,5.24846371755103,51
anyi1245,5.8302035989257,39
apal1257,2.65321251377534,24
apat1240,4.45331834004704,40
apia1248,0,22
apin1244,3.10037054511756,34
apro1235,3.81291335664286,33
apur1254,3.44404479591808,37
arab1267,1.07918124604762,24
arab1268,1.69897000433602,23.5
arag1245,4,36
arao1248,2.04139268515822,23
araw1273,2.44715803134222,21
araw1276,3.5854607295085,21
arbo1245,4.01367969729119,59
arch1244,2.98677173426624,91
argo1244,4.64048143697042,38
arhu1242,3.90308998699194,26.5
arik1265,0.301029995663981,25
asha1243,4.54654266347813,21
assa1263,7.10816639933613,36
astu1245,5.04139268515823,26.5
atay1247,4.92582757462474,26
atti1239,5.58092497567562,47
auuu1241,3.90308998699194,17
avar1256,5.88451215919039,56.5
avat1244,4.4345689040342,50
avik1243,4.32221929473392,34
avok1242,4.81291335664286,55
awar1248,3.27875360095283,25
awet1244,2.23044892137827,26
awin1248,4.27875360095283,56
awiy1238,4.04532297878666,20
awng1244,5.74303915480493,39
awtu1239,2.84509804001426,18
ayac1239,5.95424250943933,17
ayer1245,3.47712125471966,43
ayor1240,3.63346845557959,30
baat1238,5.82216807936802,30.5
baba1264,4.38916608436453,30
baba1266,4.5910646070265,33
bada1257,5.13033376849501,38
bade1248,5.39794000867204,46
badi1246,0.477121254719662,23
bady1239,4.13065534902203,43
bafa1247,3.92427928606188,47
bafa1249,4.23044892137827,59
bafi1243,4.77815125038364,49.5
bafu1246,5,49
bagi1246,4.65127801399814,48
baka1273,4.47712125471966,32
baka1277,2.97772360528885,29
bakh1245,6,36
bako1249,4.69897000433602,33
bako1250,2.47712125471966,34
bali1278,6.52244423350632,24
bamb1265,4.46239799789896,57
bamb1269,6.6124002370909,43
bame1260,3.60205999132796,50
bamu1253,5.6232492903979,38
bana1305,4.36172783601759,44
band1352,5.13987908640124,48
bang1356,4.14612803567824,40
bani1255,2.78532983501077,26
bank1256,4.07918124604763,37
baou1238,6.47915189343633,30
bara1380,3.27646180417324,17
bard1255,2.20411998265593,24
bare1276,2.38021124171161,23
bare1279,3.61278385671974,42.5
bari1286,3.13987908640124,17
basa1284,5.47712125471966,41
bash1264,6.097628609836,38.5
basq1248,5.73367865567709,30
bass1260,3.69897000433602,34
bata1285,4.17609125905568,31
bats1242,3.50514997831991,48
baur1253,1.60205999132796,18
beem1239,5,33.5
befa1241,3.47421626407626,59
beja1238,6.51041094801018,26
bekw1241,5,36
bela1260,3.09342168516224,25
belh1239,2.77815125038364,36
bemb1257,6.61384182187607,25
benc1235,5.54157924394658,48
beng1280,8.2767944749803,48
beng1286,4.23044892137827,49
bero1242,6,30
bert1248,6.25767857486918,29
bhoj1244,7.59599526342209,51
biak1248,4.47712125471966,21.5
bial1238,5.00466523324788,27
bidy1244,4.52374646681156,25
bili1260,5.07918124604763,38
bilu1245,3.9415114326344,41
bimo1239,5.24551266781415,44
bina1277,3.84509804001426,35
bini1246,6,48
binu1245,2.55630250076729,16
biss1248,5.80617997398389,32.5
blan1242,4.7419390777292,40
boik1241,4.49554433754645,25
boko1266,5.17609125905568,34
bomi1238,4.15289959639375,28
bona1250,3.77815125038364,36
bond1245,3.95424250943932,40
bong1285,4.00432137378264,29
bora1263,2.92941892571429,41
bord1248,3.54406804435028,22.5
boro1277,4.57403126772772,28.5
boro1282,3.14363923527454,21
bouy1240,6.42309835264547,36
brah1256,6.38624919670892,43
bret1244,5.31386722036915,45
brib1243,3.84509804001426,27
brok1247,4,48.5
buam1238,5.42813479402879,28
budu1250,5.25527250510331,43
bugi1244,6.70051334716843,25
bujh1238,4.33645973384853,47
bulg1262,6.90679926240059,42.5
bulu1251,6.21958452621425,36
bumb1241,3.63748972951251,22
buna1275,2.04139268515822,24
bund1253,6.48713837547719,55
buol1237,4.98227123303957,23
bura1267,3.02938377768521,23.5
burj1242,4.84571801796666,36
buru1296,4.98587535730839,48
buru1301,4.61278385671974,38
cabi1241,2.43136376415899,17
cacu1241,2.60205999132796,24
cadd1256,1.39794000867204,23
caja1238,4.47712125471966,22
cams1241,3.60205999132796,27.5
cand1248,3.04921802267018,27
cane1242,3.39794000867204,29
capa1241,1.69897000433602,24
caqu1242,2.47712125471966,27
cara1272,2.80753502806885,23
cari1279,0.778151250383644,21
carn1240,4.56820172406699,25
cash1251,3.27875360095283,21
cash1254,3.06069784035361,23
cayu1262,0.602059991327962,33
cebu1242,7.19893186993221,20
cent1989,7.21458001347032,42
cent1990,4.00432137378264,35
cent2050,6.55660398948603,29
cent2087,6.39794000867204,28
cent2092,5.02118929906994,36
cent2142,6.17289469775218,31.5
cent2144,4.86923171973098,61.5
cent2150,3.39794000867204,19
cent2194,6.39619934709574,39
chac1249,3.97266559226611,28
chac1251,2.74036268949424,20.5
chal1275,5.32797162362301,45
cham1312,4.79588001734407,31
cham1315,3.20411998265593,37
cham1318,0.301029995663981,29
chan1310,3.63144376901317,48
chau1259,3.26245108973043,42
chay1248,3.89597473235906,18
chec1245,6.17501867593663,64
chee1238,5,57
chen1255,4.41497334797082,70
chep1245,4.68574173860226,24
cher1273,4.0899051114394,17
chic1270,2.77815125038364,25
chim1302,5.90308998699194,36
chim1309,2.54406804435028,36
chip1261,4.07554696139253,56.5
chip1262,3.07918124604762,51
chiq1248,3.76789761601809,26
choc1276,4.01703333929878,21
chon1284,2.69897000433602,40
chon1287,5.26481782300954,47
chra1242,3.84509804001426,33
chuk1273,3.70757017609794,22
chum1261,4.83884909073726,30
chuv1255,6.03342375548695,34.5
coca1259,2.39794000867204,16
cofa1242,3.41161970596323,36
cogu1240,3.99607365448528,36
colo1256,3.45331834004704,25.5
coma1245,2,18
como1259,1.55630250076729,42
coro1247,3.60205999132796,24
croa1245,6.72068840662456,36
cros1244,5,37
crow1244,3.59769518592551,23
cube1242,3.79657433321043,20
cuib1242,3.45484486000851,25
culi1244,3.5910646070265,21
curr1243,4.07481644064517,29
cuvo1236,3.69897000433602,29
czec1258,7.02845697103833,40
dadi1250,4,23
dagb1246,6.06445798922692,31
dagi1241,4.74036268949424,26
daha1245,2.60205999132796,59
dakp1242,3.30102999566398,53
dang1274,4.77815125038364,28
dani1285,6.74289159203969,47.5
darf1239,4.90308998699194,30
darl1243,1.38021124171161,26
darm1243,3.24303804868629,38
daur1238,4.98272338766855,43
dawr1236,5.73479982958885,29
daww1239,1.92941892571429,39
daza1242,5.72997428569956,32
defa1248,2.30102999566398,42
dege1246,4,36
deni1241,2.86923171973098,22
dera1245,3.22788670461367,17
dera1248,4.30102999566398,35
desa1247,3.53402610605613,18
dghw1239,4.47712125471966,38
dhan1270,2.43136376415899,26
dhar1247,0,31
dhim1246,4.29556709996248,53
dhiv1236,5.5321171162488,39
didi1258,4.77815125038364,58
dido1241,4.09691001300806,42
dier1241,1,25
digo1243,5.60314437262018,48
dime1235,3.04139268515822,73
diml1238,6.17609125905568,44
diri1252,4.55630250076729,28
dita1238,5.0884904701824,32
dizi1235,4.5556988947189,30
djam1255,2.07918124604762,22
djam1256,3.44090908206522,31
djau1244,1.63346845557959,27
djee1236,2.38021124171161,21
djeo1235,0,24
djin1251,1.7160033436348,20
djin1252,1.65321251377534,25
djin1253,2.32221929473392,25
dobu1241,4,24
dolg1241,3.02118929906994,42
doma1258,5.44974059377929,45
domp1238,1.81291335664286,31
doya1240,4.25527250510331,41
dual1243,4.94299959336604,33
duru1236,4.70926996097583,31
duru1249,5.59879050676312,48
dutc1256,7.3456289383656,52.5
dyaa1242,1.46239799789896,19
dyir1250,1.46239799789896,16
dzon1239,5.37489491856698,58
dzuu1241,4.12710479836481,55
east2347,6.0782755220866,47
east2379,3.37657695705651,31
east2440,4.30102999566398,24
east2555,4.84217222938562,24
ebir1243,6,31
efik1245,5.60773374009362,20
egaa1242,3.39794000867204,39
eggo1239,5.14612803567824,42
ejag1239,5.06707085604537,29
ekar1243,5,15
ekpe1253,4.47712125471966,37
elip1238,3.80617997398389,30
eloy1241,4.39794000867204,51
emai1241,5,48
embe1260,4.17724783625562,31
emer1243,2.60205999132796,30
enap1235,3.54900326202579,22.5
enge1239,4.30102999566398,33
erzy1239,5.05895717877731,35
esim1238,4.30102999566398,37
esto1258,6.05328593286621,40
eten1239,4.60205999132796,74
eton1253,5.39794000867204,38
even1259,4.22530928172586,27
even1260,3.75281643118827,36
ewon1239,5.76192783842053,29.5
fang1248,3.60205999132796,36
faro1244,4.83884909073726,36
fasu1242,3.07918124604762,21
fern1234,3.77815125038364,30
fiji1243,5.53046864688893,30
finn1318,6.7334685140873,25
fonn1241,6.0883133155881,42
friu1240,5.47712125471966,39
fuli1240,5.60205999132796,35.5
fuln1247,3.46686762035411,31.5
furr1244,5.87262237902529,30
furu1242,4.20411998265593,41
fwee1238,3.99782308074573,60
gaaa1244,5.87215627274829,41
gaam1241,4.96848294855393,41
gads1258,4.34439227368511,17
gaga1249,5.77064585686437,46
gaga1251,0,27
gagu1242,4.77815125038364,36
gali1258,6.37876117531637,29
gali1262,3.86675978349511,17
galo1242,4.47712125471966,29
gami1243,1.54406804435028,21
gamo1243,6.02938377768521,36
gand1255,6.7453441892978,33
gang1267,0,24
gara1269,1.77085201164214,17
garo1247,6.00389116623691,23.5
gata1239,3.48572142648158,39
gava1241,4.17609125905568,55
gayo1244,5.47712125471966,27
gbar1246,5.54406804435028,31
gbay1287,5.30102999566398,45
gbay1288,4.20411998265593,56
genn1243,5.44544851426605,42
ghod1238,2.11394335230684,66
gida1247,4.81756536955978,38
giky1238,4.01703333929878,51
gily1242,2.30102999566398,35
giny1241,4.21748394421391,53
giry1241,5.97497199429807,47
glav1244,4.49554433754645,43
godi1239,4.42160392686983,42
goli1247,4.70842090013471,23
gonj1241,5.49136169383427,39
goon1238,2.61278385671974,23
gour1243,6.0180760636458,33
gras1249,3.23044892137827,16
guah1255,4.53402610605614,32
guaj1255,4.11727129565576,21.5
guaj1256,2.44715803134222,24
guam1248,4.32221929473392,24.5
guan1269,2.8750612633917,26
guar1292,3.77305469336426,26
guar1293,2.81291335664286,25
guat1253,0.602059991327962,25
guay1257,3,22
gude1246,4.94448267215017,36
guer1243,4.66181268553726,37
guja1252,7.67078068948286,59
guma1253,2.38021124171161,31
gumu1244,5.34044411484012,44
gupa1247,2.51851393987789,31
gura1252,1.77815125038364,27
guri1247,2.77085201164214,23
guro1248,5.69897000433602,57
guru1261,5.55509444857832,49
gwan1268,4.43616264704076,50
hadi1240,6.09691001300806,56
hadz1240,2.97772360528885,62
hakk1236,7.67965089227097,35
halh1238,6.41939228647692,34
halk1245,2.45484486000851,47
hame1242,4.87215627274829,35
hang1258,3.83250891270624,29
hara1271,4.41161970596323,34
haus1257,7.43733984943871,43
hawa1245,3.30102999566398,16
hawk1239,1,18
haya1250,6.2405492482826,29
hdii1240,4.46239799789896,41
hebr1245,6.71926497742075,27
heib1243,3.64443858946784,34
here1253,5.28262211287806,26
hili1240,6.76117581315573,25
hind1269,8.41517945530574,61
hixk1239,2.77815125038364,23
hoav1238,2.66275783168157,21
holo1240,4.19033169817029,26
hooo1248,6.01703333929878,39
hopi1249,3.83122969386706,38.5
huaa1248,3.39794000867204,161
hual1241,4.60205999132796,22
huam1247,3.9698816437465,23
huar1255,3.45331834004704,26
huas1242,5.12057393120585,31
huba1236,5.48572142648158,31
huic1243,4.67760695272049,25
huml1238,3.69897000433602,69
hung1274,7.10028574601187,52
hung1278,2.60205999132796,33
hunz1247,3.15228834438306,60
hupa1239,0.903089986991944,38.5
hupd1244,3.09342168516224,31.5
iaai1238,3.61066016308988,52
iban1261,4.77815125038364,38
iban1264,5.89448221501009,25
icel1247,5.49670829512148,42
idaa1241,4,23
idom1241,5.77815125038364,75
iged1239,5.39794000867204,38
igna1246,3.65321251377534,25
igoo1238,3.88081359228079,33
ikkk1242,3.8750612633917,44
ikpe1245,2.49136169383427,18
ikwe1242,5.30102999566398,46
ilok1237,6.84611433988491,23
imon1245,2.39794000867204,23
inap1243,0.602059991327962,31
indo1316,7.36539568750655,31
ingu1240,5.50906804501716,58.5
inor1238,5.44715803134222,45
iqui1243,1.54406804435028,19
iran1263,1.60205999132796,41
iraq1241,5.66464197555613,46.5
irar1238,3.60205999132796,19
irul1243,5.30102999566398,41
isok1239,5.62634036737504,37
ital1282,7.80188446098908,30
iton1250,0.698970004336019,25
iumi1238,5.91312479038956,45
ivat1242,4.54406804435028,23
iwai1244,2.14612803567824,23
iwam1256,3.47712125471966,17
izer1241,4.69897000433602,39
izii1239,5.73239375982297,51
izon1238,6,37
jama1261,2.90308998699194,16
japr1238,2.23044892137827,22
jaqa1244,2.86923171973098,42
jaru1254,2.55630250076729,23
jaun1243,5,51
java1254,7.92618032779022,30
jebe1250,3.38021124171161,22
jeme1245,3.25285303097989,61
jere1244,4.36172783601759,44
jica1244,2.66275783168157,56
jita1239,5.31175386105575,29
jola1263,5.59889988706388,29
jowu1238,4.04139268515823,45
juan1238,4.3747483460101,36
juho1239,4.47712125471966,141
jumj1238,4.84509804001426,39
jurm1239,5,49
juru1256,2.44715803134222,28
kaba1278,6.21178776290089,56
kabi1261,5.99312748510571,47
kaby1243,6.74710093136499,30
kach1280,5.9731278535997,30
kadi1248,3.20139712432045,31
kafa1242,5.9216864754836,27
kagf1238,4.55630250076729,56
kagu1239,5.38201704257487,31
kain1272,4.25527250510331,21.5
kako1242,5.08421868673924,48.5
kala1381,5.41161970596323,43
kalm1243,5.5572665288699,39
kama1365,3.77815125038364,28
kama1367,2.98227123303957,29
kama1373,2.60205999132796,26
kamb1299,5.38021124171161,29
kamb1316,5.85308952985187,59
kamw1239,5.47712125471966,35
kang1281,3,36
kang1288,4.14612803567824,75.5
kano1245,0.698970004336019,26
kara1462,1.96848294855394,67
kara1464,1.90848501887865,37
kara1467,5.76691081032657,38
kara1474,2.41497334797082,54.5
kara1476,1.41497334797082,20.5
kara1478,4.25527250510331,40
kara1483,5.8234742291703,66
kara1500,3.42651126136458,24
karb1241,5.6232492903979,42
kare1335,4.55144999797287,30
kare1338,4.98882640704528,57
kari1311,2.32221929473392,28
karo1304,1.07918124604762,34
kase1253,5.36660971039243,42.5
kash1277,6.73916317134444,56
katc1249,4.8750612633917,61.5
kawa1283,0.698970004336019,31
kaxa1239,2.43136376415899,20
kaya1319,1.36172783601759,23.5
kaya1329,3,25
kaya1330,3.85125834871908,33
kayt1238,2.14612803567824,43
keig1242,3.78318869107526,59
kekc1242,5.91254088279064,26
kela1255,3.34242268082221,30
keli1248,4.35218251811136,45
keme1240,3.54900326202579,34
kens1251,4.39794000867204,65
keoo1238,4.60205999132796,30
kera1255,4.70329137811866,30
kete1252,3.92427928606188,25
kett1243,2.32221929473392,25
kgal1244,4.81557774832427,53
khak1248,4.62951153420045,39
kham1282,6.13997348798446,70.5
khan1273,3.98136550907854,31.5
khar1287,5.38064531919092,41
khas1269,5.92582757462474,29
khez1235,4.61066016308988,53
khmu1256,5.90173069172922,41
kich1262,6.36735592102602,32
kiku1240,6.82105475504689,32
kima1246,3.47712125471966,44
kinn1249,4.81358098856819,46
kiny1244,7.08332341847353,49
kiow1266,3.10380372095596,42
kips1239,6.28239550474253,37
kirg1245,6.69093552342112,36
kiri1254,5.39445168082622,36
kist1241,5.40654018043396,41
kitj1240,2.32221929473392,24
kitu1245,6.17318626841227,22
klao1243,5.54607356959459,27
koal1240,4.64640372622307,45
koas1236,1.77085201164214,25
kofy1242,5.04139268515823,36
koho1244,5.22010808804005,37
kohu1244,4.47712125471966,38
koka1244,1.27875360095283,23
koko1269,2.72427586960079,27
komc1235,5.36735592102602,75
komo1258,4.2678754193189,29.5
komo1260,5.60205999132796,35
konk1267,6.38445019205379,41
konk1269,5.96175321418678,40
konn1242,3.57978359661681,49
koon1245,4.60205999132796,52
koor1239,5.19589965240923,61
kore1280,7.88780442293745,39
kore1283,3.32221929473392,30
kork1243,5.75891189239797,39
kory1246,3.22271647114758,21
kosh1246,3.47712125471966,37
koya1253,4.77815125038364,43
kpan1246,4.05690485133647,34
krac1238,4.76342799356294,44
krah1246,3.27875360095283,46
kren1239,1,35
krim1238,1.17609125905568,38
krio1253,5.85497973840243,33.5
kris1246,2.6232492903979,18
kron1241,4.33645973384853,62
kuan1247,6.15866398081399,33
kuii1252,5.96189547366785,39
kuik1246,3.00432137378264,26
kulu1253,4.52113808370404,43
kuma1273,6.37291200297011,42
kumb1268,1.6232492903979,19
kumi1248,2.64345267648619,34
kumy1244,5.63124078023551,31
kumz1235,3.56466606425209,35
kuna1268,5.40556831792884,30
kung1261,4.30535136944662,120
kuni1267,3.91381385238372,20
kuni1268,3.69897000433602,25
kunj1245,0.301029995663981,28
kuny1238,5.06445798922692,55
kuoo1238,4.30642502755069,56
kuot1243,3.38021124171161,19
kura1250,5.61405310598722,54
kuri1259,5.83884909073726,22
kurr1243,1,27
kuru1302,6.25628467848416,56
kuru1309,0.477121254719662,28
kusa1250,5.73957234445009,44
kusu1250,0.477121254719662,38
kute1248,4.66275783168157,46
kuvi1243,5.19865708695442,37
kuwa1246,3.85733249643127,34
kwai1243,4.12057393120585,21
kwak1269,2.40654018043396,51.5
kwam1249,4.17609125905568,25
kwam1251,4.47712125471966,37
kwan1273,5.22505069613805,27
kwaz1243,0.845098040014257,40
kwes1244,4.77815125038364,25
kwom1262,3.47712125471966,31
kyen1242,4.17609125905568,37
kyer1238,2.77815125038364,63
lada1244,5.06818586174616,38
lagw1237,4,41
lahu1253,5.72456257318769,40
lakk1238,3.95424250943932,57
lakk1252,5.18977095634687,69
lako1247,3.32221929473392,36
lama1275,5.41161970596323,53
lamb1269,6.61804809671209,41
lamb1276,4.30102999566398,19
lamn1239,5.38021124171161,45
lang1320,5.61278385671974,52
lang1324,6.32837960343874,40
laoo1244,6.51237750731293,36.5
lara1258,1.36172783601759,24
lave1249,4.50826030551233,31
lavu1241,3.25042000230889,20
lazz1240,4.34242268082221,37
leco1242,1.30102999566398,30
lega1249,5.60205999132796,38
